Years,Months,Dates,Hours,TotalHeating
2014,5,29,16,171.8
2014,5,29,17,168.3
2014,5,29,18,167.3
2014,5,29,19,170.2
2014,5,29,20,169.6
2014,5,29,21,169.1
2014,5,29,22,171.5
2014,5,29,23,172.9
2014,5,30,0,171.2
2014,5,30,1,169.3
2014,5,30,2,169.5
2014,5,30,3,170.9
2014,5,30,4,176.6
2014,5,30,5,178.7
2014,5,30,6,188.7
2014,5,30,7,196.8
2014,5,30,8,195.6
2014,5,30,9,194.9
2014,5,30,10,188.3
2014,5,30,11,177
2014,5,30,12,169.8
2014,5,30,13,164
2014,5,30,14,156.7
2014,5,30,15,152.3
2014,5,30,16,148.5
2014,5,30,17,147.2
2014,5,30,18,146.9
2014,5,30,19,153.5
2014,5,30,20,154.3
2014,5,30,21,159.2
2014,5,30,22,156.9
2014,5,30,23,158.2
2014,5,31,0,148.7
2014,5,31,1,171.1
2014,5,31,2,159.2
2014,5,31,3,159.9
2014,5,31,4,161
2014,5,31,5,161.3
2014,5,31,6,162.8
2014,5,31,7,165.6
2014,5,31,8,176.6
2014,5,31,9,183.1
2014,5,31,10,190.9
2014,5,31,11,190.8
2014,5,31,12,183.5
2014,5,31,13,176.8
2014,5,31,14,167
2014,5,31,15,163
2014,5,31,16,158.5
2014,5,31,17,159.8
2014,5,31,18,163.8
2014,5,31,19,171
2014,5,31,20,175
2014,5,31,21,171
2014,5,31,22,171.7
2014,5,31,23,169.4
2014,6,1,0,167.7
2014,6,1,1,163.1
2014,6,1,2,163.8
2014,6,1,3,162.6
2014,6,1,4,167.8
2014,6,1,5,166.4
2014,6,1,6,168.4
2014,6,1,7,170.4
2014,6,1,8,176.3
2014,6,1,9,183.6
2014,6,1,10,185.3
2014,6,1,11,182.6
2014,6,1,12,177.7
2014,6,1,13,171.9
2014,6,1,14,165.8
2014,6,1,15,156.4
2014,6,1,16,156.1
2014,6,1,17,151.7
2014,6,1,18,156.8
2014,6,1,19,161.9
2014,6,1,20,166.5
2014,6,1,21,161.6
2014,6,1,22,161.7
2014,6,1,23,162
2014,6,2,0,156.2
2014,6,2,1,150.8
2014,6,2,2,149.1
2014,6,2,3,151.2
2014,6,2,4,154.5
2014,6,2,5,158
2014,6,2,6,167.5
2014,6,2,7,197.7
2014,6,2,8,191.6
2014,6,2,9,174
2014,6,2,10,169
2014,6,2,11,162.3
2014,6,2,12,156.8
2014,6,2,13,150.9
2014,6,2,14,146.1
2014,6,2,15,144.4
2014,6,2,16,138.9
2014,6,2,17,140.3
2014,6,2,18,142
2014,6,2,19,150.4
2014,6,2,20,152.7
2014,6,2,21,149
2014,6,2,22,148.8
2014,6,2,23,150.6
2014,6,3,0,143.2
2014,6,3,1,140.1
2014,6,3,2,134.2
2014,6,3,3,133
2014,6,3,4,132.5
2014,6,3,5,136.8
2014,6,3,6,147
2014,6,3,7,175.9
2014,6,3,8,176.8
2014,6,3,9,162.8
2014,6,3,10,156.3
2014,6,3,11,150.1
2014,6,3,12,146
2014,6,3,13,139.8
2014,6,3,14,141.1
2014,6,3,15,138.6
2014,6,3,16,140.8
2014,6,3,17,139.6
2014,6,3,18,141.8
2014,6,3,19,146.7
2014,6,3,20,152.7
2014,6,3,21,145.7
2014,6,3,22,145.9
2014,6,3,23,145.3
2014,6,4,0,136.6
2014,6,4,1,133.6
2014,6,4,2,132.6
2014,6,4,3,133.7
2014,6,4,4,134.6
2014,6,4,5,137.5
2014,6,4,6,145.3
2014,6,4,7,175.1
2014,6,4,8,179
2014,6,4,9,165.8
2014,6,4,10,156.4
2014,6,4,11,151.5
2014,6,4,12,150.6
2014,6,4,13,149.9
2014,6,4,14,145.3
2014,6,4,15,141.9
2014,6,4,16,139
2014,6,4,17,140.3
2014,6,4,18,142.8
2014,6,4,19,147
2014,6,4,20,147.6
2014,6,4,21,142
2014,6,4,22,144
2014,6,4,23,142.6
2014,6,5,0,137.6
2014,6,5,1,134.5
2014,6,5,2,134.6
2014,6,5,3,132.5
2014,6,5,4,133
2014,6,5,5,131.7
2014,6,5,6,137.5
2014,6,5,7,145.5
2014,6,5,8,156.8
2014,6,5,9,158.6
2014,6,5,10,160.1
2014,6,5,11,157.2
2014,6,5,12,156.2
2014,6,5,13,150.1
2014,6,5,14,148.5
2014,6,5,15,149.7
2014,6,5,16,160.2
2014,6,5,17,161
2014,6,5,18,164.6
2014,6,5,19,163.3
2014,6,5,20,159.5
2014,6,5,21,159.4
2014,6,5,22,162.7
2014,6,5,23,163.6
2014,6,6,0,152.1
2014,6,6,1,153
2014,6,6,2,150.4
2014,6,6,3,148.1
2014,6,6,4,148.6
2014,6,6,5,152.3
2014,6,6,6,160.1
2014,6,6,7,182.1
2014,6,6,8,193.8
2014,6,6,9,194.7
2014,6,6,10,197.6
2014,6,6,11,196.9
2014,6,6,12,195
2014,6,6,13,193.8
2014,6,6,14,178
2014,6,6,15,166
2014,6,6,16,162.9
2014,6,6,17,164.4
