id,bu_code,bu_naam,adam_total_household,area_ha,ElecConFeb11_11am_168440kwh,GasConFeb15_12am_110083kwh,PM10Feb11_10am_0.0001019991Mg,NOXConFeb11_10am_0.021419819Mg,ElecConFeb11_11am_187141kwh
44,BU03630388,Sloten- en Riekerpolder,5730,519.2047314526,4.2210146682,2.7586200292,2.55604189767579E-09,5.36769006505396E-07,4.6896515437
45,BU03630424,Oude Pijp,9965,67.628370076,56.3571812467,36.8319139348,3.41271774263955E-08,7.16671003658297E-06,62.6142202309
46,BU03630425,Nieuwe Pijp,7805,54.5819865128,54.6920812719,35.7436973561,3.31188735862288E-08,0.000006955,60.7642530356
47,BU03630426,Diamantbuurt,4890,39.3821337631,47.4909106149,31.0374134008,2.87581936648349E-08,6.0392230097635E-06,52.7635745867
48,BU03630444,Hoofddorppleinbuurt,6870,96.7062297085,27.1708463262,17.7573514375,1.64533476105123E-08,3.45520433707024E-06,30.1874813129
49,BU03630445,Schinkelbuurt,2410,34.6825997055,26.5770198017,17.3692595039,1.60937550490062E-08,3.37968986989274E-06,29.5277253782
50,BU03630446,Willemspark,2760,69.4765923126,15.1939766241,9.9299366464,9.20073581739142E-09,1.93215527034613E-06,16.8808832784
51,BU03630447,Museumkwartier,6245,132.4616892994,18.0319641067,11.7846871572,1.09192834844227E-08,2.29305042026654E-06,20.033957462
52,BU03630448,Stadionbuurt,6710,107.748384795,23.818402635,15.5663810096,1.44232701983137E-08,3.02888791531449E-06,26.4628335758
53,BU03630449,Apollobuurt,4240,94.6749551792,17.1289850087,11.1945503248,1.03724831085071E-08,2.17822229682932E-06,19.030725383
54,BU03630450,Duivelseiland,845,6.1343793327,52.6849972594,34.4319790626,3.19034807882078E-08,6.69973356161409E-06,58.5343331283
55,BU03630452,Scheldebuurt,8285,137.6200304958,23.0256417804,15.0482766808,1.39432126485306E-08,2.92807579079619E-06,25.5820566873
56,BU03630453,IJselbuurt,3190,29.1366383919,41.8747396466,27.3669969397,2.53573127326502E-08,0.000005325,46.5238699371
57,BU03630454,Rijnbuurt,5740,111.4282426479,19.702325604,12.876342374,1.19307734476307E-08,2.50546339484847E-06,21.8897703388
58,BU03630459,Station-Zuid WTC en omgeving,735,125.0537856544,2.2479744801,1.4691508827,1.36126438962677E-09,2.85865632592153E-07,2.4975551661
59,BU03630490,Buitenveldert-West,7845,435.9399732075,6.8828314681,4.4982351966,4.1679091379842E-09,8.75261258133066E-07,7.6469957479
60,BU03630491,Buitenveldert-Oost,4185,197.9071839306,8.0878815837,5.2857888172,4.89762908121769E-09,1.02850250559179E-06,8.9858361877
61,BU03630527,Weesperzijde,2930,44.5853953945,25.1348257509,16.4267218186,1.5220432232519E-08,3.19629200736528E-06,27.9254121696
62,BU03630528,Oosterparkbuurt,6225,74.819527261,31.8218391961,20.7969812647,1.92697634667689E-08,4.04665189606508E-06,35.3548492578
63,BU03630529,Dapperbuurt,4860,61.0452347763,30.4498657197,19.9003358348,1.84389628267032E-08,3.87218369404632E-06,33.8305528417
64,BU03630530,Transvaalbuurt,4900,37.8616386639,49.4991287058,32.3498728646,0.00000003,6.29459981231149E-06,54.9947544831
