Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
02/11/15,0.2848979177,0.2779350358,0.276850239,0.27730434,0.2855286135,0.3178454676,0.3754910659,0.4070258571,0.4213300384,0.424407834,0.4249376185,0.4202452416,0.4200686468,0.4178738253,0.4145185235,0.4143167009,0.4225662022,0.4235500877,0.4111884496,0.391788246,0.3685534118,0.3415848584,0.3183500242,0.298445264
02/15/15,0.2673141181,0.2590393889,0.2561381881,0.2547506573,0.256163416,0.2632272092,0.2751347464,0.2880766247,0.3049288171,0.3132792298,0.3161299749,0.3166849873,0.3105546239,0.3035665141,0.3033142358,0.3121692052,0.3337137745,0.3597993538,0.3587902405,0.3488504743,0.3317460035,0.314010837,0.2921887615,0.2763456823
08/12/15,0.2631767535,0.2600737301,0.2593673508,0.2665320553,0.2828796911,0.3103528012,0.3408532512,0.3566711025,0.3632555669,0.3649710596,0.3608589228,0.3621707701,0.3613634795,0.357957722,0.3575288488,0.3593452528,0.3443346922,0.3337390024,0.3253633618,0.3281131956,0.3199393777,0.3040710708,0.2844438167,0.2689539273
08/16/15,0.2479391424,0.2437513222,0.2411528554,0.24074921,0.2378984649,0.2423385635,0.2565166056,0.2716785332,0.2834599312,0.2903219018,0.2947367726,0.2927185459,0.2901957626,0.2870170557,0.2884298143,0.3000598453,0.3038187925,0.3009175917,0.3008923638,0.3061145253,0.297537062,0.2793730223,0.2641858669,0.2532117595
