Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
02/11/15,1.67949864992158E-10,1.66633526384012E-10,1.67625633470175E-10,1.69696288393062E-10,1.74755112044988E-10,1.86192972391846E-10,2.06887182979352E-10,2.2337751508387E-10,2.30463390871682E-10,2.31607253471808E-10,2.29026603734067E-10,2.24583134504036E-10,2.21082043506827E-10,2.20857451018647E-10,2.18588915003605E-10,2.17130190892636E-10,2.17613564975028E-10,2.18204910457258E-10,2.15291245175641E-10,2.1033800529673E-10,2.02317003158172E-10,1.91825439979801E-10,1.82923365603575E-10,1.77230853831547E-10
02/15/15,1.89209064841332E-10,1.86296616039016E-10,1.85349823544842E-10,1.86620846730023E-10,1.87800925070708E-10,1.91454582568083E-10,1.97121463428045E-10,2.02532896471187E-10,2.10479799824446E-10,2.17221264253687E-10,2.2198846884904E-10,2.22717966068892E-10,2.19555294697306E-10,2.17329730979212E-10,2.15087816527609E-10,2.14749036740667E-10,2.18020311664097E-10,2.24354664257092E-10,2.24395970080833E-10,2.23414042330061E-10,2.18775979622506E-10,2.11407628961334E-10,2.03024828747543E-10,1.96248093897336E-10
08/12/15,9.06036128343309E-11,8.91452488846818E-11,8.84450756846305E-11,9.06254146433198E-11,9.43968643765568E-11,1.01552740348832E-10,1.10721299026228E-10,1.20135124523101E-10,1.22923475358045E-10,1.21357635334244E-10,1.19257746224144E-10,1.18452934570668E-10,1.17155560150783E-10,1.16174353553626E-10,1.15167111382279E-10,1.15255759263513E-10,1.11280347703564E-10,1.0837699775268E-10,1.0720218916035E-10,1.09389780001117E-10,1.07845470626594E-10,1.03683799617111E-10,9.92260952897052E-11,9.53765833347019E-11
08/16/15,8.60223965288015E-11,8.47631746514148E-11,8.37577341176416E-11,8.31310737136407E-11,8.27031498888013E-11,8.30324261621871E-11,8.7025945592415E-11,9.13244620276315E-11,9.51985680805707E-11,9.84948417640611E-11,1.01329047848462E-10,1.00332346004802E-10,1.00116221878001E-10,9.91240694600563E-11,9.95552363987241E-11,1.0107977142976E-10,1.02234850179409E-10,1.01244004073353E-10,1.01524226484257E-10,1.04422305855809E-10,1.02493630942645E-10,9.66290939874791E-11,9.25667463512837E-11,8.83820578844861E-11
