Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
02/11/15,0.2564277232,0.2501606505,0.2491842587,0.2495929809,0.2569953928,0.2860827844,0.3379677882,0.3663512694,0.3792260165,0.3819962443,0.3824730868,0.3782496248,0.3780906773,0.376115187,0.3730951846,0.3729135303,0.380338649,0.3812242136,0.370097889,0.3526363713,0.3317234223,0.3074498691,0.2865369201,0.2686212667
02/15/15,0.240601094,0.2331532685,0.2305419883,0.2292931151,0.230564695,0.2369225948,0.2476401974,0.2592887781,0.2744569105,0.2819728563,0.284538723,0.2850382723,0.2795205235,0.2732307441,0.2730036762,0.2809737578,0.3003653522,0.3238441679,0.3229358965,0.3139894232,0.2985942229,0.2826313531,0.262989984,0.248730123
08/12/15,0.2368771813,0.2340842467,0.2334484567,0.2398971837,0.2546111804,0.2793388692,0.3067913723,0.3210285265,0.3269549974,0.3284990588,0.3247978528,0.3259786057,0.3252519885,0.3221865726,0.3218005572,0.3234354457,0.3099249087,0.300388059,0.2928494063,0.2953244459,0.2879674476,0.2736848798,0.256019001,0.242077035
08/16/15,0.2231622831,0.2193929568,0.217054158,0.2166908494,0.2141249827,0.2181213768,0.23088259,0.2445293678,0.2551334364,0.2613096819,0.2652833693,0.2634668265,0.261196148,0.2583350931,0.2596066731,0.270074501,0.2734578119,0.2708465317,0.2708238249,0.2755241294,0.2678038225,0.2514549372,0.2377854527,0.2279080012
