Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
02/11/15,0.1693107271,0.1699526277,0.1721048827,0.1754654212,0.1807139027,0.1868685969,0.1983472902,0.213488593,0.219681046,0.2203607054,0.2157163657,0.2100525367,0.2041243958,0.2046530198,0.202160935,0.199744368,0.1971390067,0.1977431485,0.1978941839,0.1974788364,0.1934008796,0.1866420437,0.1810537325,0.1795811369
02/15/15,0.2130732455,0.2115251323,0.2111097848,0.2138661816,0.2153010182,0.2186237979,0.2233814142,0.2272705768,0.2338783772,0.2419587732,0.2489441623,0.2499636515,0.2470939781,0.2461877655,0.2424496384,0.2381828872,0.2348223487,0.2348223487,0.2353132139,0.2377675398,0.2369368449,0.2316883634,0.226402123,0.2213801947
08/12/15,0.045763738,0.0445554545,0.0436492419,0.0444044191,0.0440645893,0.0448952842,0.047915993,0.0574689845,0.059507963,0.0561096656,0.0542217226,0.0522960207,0.0504080778,0.0501437657,0.0485956525,0.0479915107,0.0474251278,0.0468587449,0.0483313405,0.0509367018,0.051691879,0.0511632549,0.051691879,0.0515408435
08/16/15,0.0442533836,0.0438380362,0.0431961355,0.0422899229,0.0427430292,0.041459228,0.0424031995,0.0434604476,0.0451973551,0.0479915107,0.0510122195,0.0501437657,0.0508234252,0.0504458366,0.0505968721,0.0483690993,0.0487844468,0.0482935816,0.0487844468,0.0515786024,0.0518429144,0.0493508297,0.0487089291,0.0461035677
