Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
02/11/15,3.52694716483532E-08,0.000000035,3.52013830287368E-08,3.56362205625429E-08,3.66985735294475E-08,3.91005242022877E-08,4.34463084256639E-08,4.69092781676126E-08,4.8397312083053E-08,4.86375232290799E-08,4.80955867841543E-08,4.71624582458475E-08,4.64272291364337E-08,4.63800647139158E-08,4.59036721507569E-08,4.55973400874536E-08,4.56988486447558E-08,4.58230311960243E-08,4.52111614868846E-08,4.41709811123132E-08,4.24865706632161E-08,4.02833423957581E-08,3.84139067767508E-08,3.72184793046249E-08
02/15/15,3.97339036166797E-08,3.91222893681932E-08,3.8923462944417E-08,3.91903778133048E-08,3.94381942648488E-08,4.02054623392973E-08,4.13955073198896E-08,4.25319082589493E-08,4.42007579631337E-08,4.56164654932743E-08,4.66175784582985E-08,4.67707728744671E-08,4.61066118864341E-08,4.56392435056345E-08,4.51684414707979E-08,4.50972977155401E-08,4.57842654494604E-08,4.71144794939893E-08,4.71231537169749E-08,4.69169488893128E-08,4.59429557207263E-08,4.43956020818802E-08,4.26352140369841E-08,4.12120997184406E-08
08/12/15,0.000000019,1.87205022657832E-08,1.85734658937724E-08,0.000000019,1.9823341519077E-08,2.13260754732548E-08,2.32514727955079E-08,2.52283761498512E-08,2.58139298251895E-08,2.54851034201911E-08,0.000000025,2.48751162598403E-08,2.46026676316644E-08,2.43966142462614E-08,2.41850933902785E-08,2.42037094453377E-08,2.33688730177483E-08,2.27591695280629E-08,2.25124597236735E-08,0.000000023,2.26475488315848E-08,2.17735979195934E-08,2.08374800108381E-08,0.00000002
08/16/15,1.80647032710483E-08,1.78002666767971E-08,1.75891241647047E-08,1.74575254798645E-08,1.73676614766483E-08,1.74368094940593E-08,1.82754485744072E-08,1.91781370258026E-08,0.00000002,2.06839167704528E-08,2.12791000481771E-08,2.10697926610084E-08,0.000000021,2.08160545866118E-08,2.09065996437321E-08,2.12267520002497E-08,2.1469318537676E-08,2.12612408554041E-08,2.1320087561694E-08,2.19286842297199E-08,2.15236624979553E-08,2.02921097373706E-08,1.94390167337696E-08,1.85602321557421E-08
