Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
02/11/15,7.39646166929516E-05,7.33849051189398E-05,7.38218261033648E-05,7.47337363194391E-05,7.69616270792767E-05,8.19988264624518E-05,9.11124947225576E-05,9.83747875103911E-05,0.0001014954,0.0001019991,0.0001008626,9.89057386861738E-05,9.73638687142761E-05,0.000097265,9.62659024008425E-05,9.56234846785443E-05,9.58363611743074E-05,9.60967879506452E-05,9.48136185016167E-05,9.2632226518664E-05,8.90998012398496E-05,8.44793482907845E-05,8.05589014417178E-05,7.80519363348518E-05
02/15/15,8.33271045289279E-05,8.20444708137345E-05,8.1627506239678E-05,8.21872610373618E-05,0.000082707,0.000084316,8.68117011293207E-05,8.91948800072212E-05,9.26946724032865E-05,9.56635931135311E-05,9.77630557157108E-05,9.80843241028416E-05,9.66914931188093E-05,9.57113615340521E-05,0.000094724,9.45748315334795E-05,9.60154911959335E-05,9.88051210748305E-05,9.88233120356887E-05,9.83908740000318E-05,9.63482850978126E-05,9.31032855716848E-05,8.94115255059318E-05,8.64270718081051E-05
08/12/15,3.99015592814008E-05,3.92593001730672E-05,3.89509459962842E-05,3.99111607326741E-05,4.15720958808425E-05,4.47235221914047E-05,4.87613279272538E-05,5.29071484346002E-05,5.4135129777257E-05,5.3445538528295E-05,5.25207536638742E-05,5.21663170261185E-05,0.000051595,5.11628367819562E-05,5.07192503514213E-05,5.07582906123733E-05,4.90075312876063E-05,4.77289046792872E-05,4.72115224996507E-05,4.81749309431518E-05,4.74948217275403E-05,0.000045662,4.36988746873003E-05,4.20035611708527E-05
08/16/15,0.000037884,3.73294478269591E-05,3.6886654832207E-05,3.66106754702662E-05,3.64222191015784E-05,3.65672313845487E-05,0.000038326,0.000040219,4.19251637869791E-05,4.33768328283672E-05,0.000044625,4.41860641834768E-05,4.40908837664058E-05,4.36539428180004E-05,4.38438274442889E-05,4.45152280983522E-05,4.50239213144613E-05,4.45875556618923E-05,0.000044711,4.59872702319807E-05,4.51378875862478E-05,4.25551631048038E-05,4.07661173928663E-05,3.8923193146154E-05
