Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
02/11/15,125468.188271522,122401.755971607,121924.01470749,122123.999422702,125745.944820428,139978.190386338,165365.138956286,179252.966401553,185552.484930726,186907.936889385,187141.252390465,185074.743666609,184996.971832916,184030.379042725,182552.714202549,182463.832106899,186096.887766581,186530.187982873,181086.159624329,172542.36818,162309.816918327,150432.946887135,140200.395625462,131434.398942009
02/15/15,117724.335688041,114080.169766403,112802.489641439,112191.425233847,112813.599903395,115924.473251135,121168.516894468,126868.081278005,134289.736264756,137967.232972263,139222.692573315,139467.118336352,136767.324680992,133689.782119121,133578.679499558,137478.381446189,146966.545156796,158454.556019521,158010.145541273,153632.702330524,146099.944724211,138289.430568993,128679.053976868,121701.809468366
08/12/15,115902.252727222,114535.690506608,114224.603171834,117379.917567399,124579.367315025,136678.442585342,150110.749290405,157076.883536951,159976.661907522,160732.159720545,158921.187021682,159498.920643405,159143.392260806,157643.506896717,157454.632443462,158254.571304309,151643.965440362,146977.655418752,143289.048449289,144500.067002517,140900.342128703,133911.987358245,125268.20355631,118446.502715195
08/16/15,109191.654505669,107347.351020938,106202.994039448,106025.229848148,104769.770247096,106725.17635139,112969.143570782,119646.411006466,124834.903340018,127856.894592108,129801.190434446,128912.369477949,127801.343282327,126401.450275844,127023.624945392,132145.455707207,133800.884738683,132523.204613718,132512.094351762,134811.918576698,131034.429511585,123035.040903111,116346.663205471,111513.699254518
