Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
02/11/15,0.0155325695,0.0154108301,0.0155025835,0.0156940846,0.0161619417,0.0172197536,0.0191336239,0.0206587054,0.021314031,0.0214198193,0.0211811521,0.0207702051,0.0204464124,0.0204256414,0.0202158395,0.0200809318,0.0201256358,0.0201803255,0.0199108599,0.0194527676,0.0187109583,0.0177406631,0.0169173693,0.0163909066
02/15/15,0.017498692,0.0172293389,0.0171417763,0.0172593248,0.0173684624,0.017706365,0.0182304572,0.0187309248,0.0194658812,0.0200893546,0.0205302417,0.0205977081,0.0203052136,0.0200993859,0.0198920461,0.0198607146,0.0201632532,0.0207490754,0.0207528955,0.0206620835,0.0202331399,0.01955169,0.0187764204,0.0181496851
08/12/15,0.0083793274,0.008244453,0.0081796987,0.0083813438,0.0087301401,0.0093919397,0.0102398789,0.0111105012,0.0113683773,0.0112235631,0.0110293583,0.0109549266,0.010834941,0.0107441957,0.0106510426,0.010659241,0.0102915816,0.01002307,0.0099144197,0.0101167355,0.0099739126,0.0095890272,0.0091767637,0.0088207478
08/16/15,0.0079556411,0.007839184,0.0077461975,0.0076882418,0.007648666,0.0076791186,0.0080484527,0.008445994,0.0088042844,0.0091091349,0.0093712518,0.0092790735,0.0092590856,0.009167328,0.0092072038,0.0093481979,0.0094550235,0.0093633867,0.0093893026,0.0096573267,0.0094789564,0.0089365843,0.0085608847,0.0081738706
