Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
02/11/15,74563.9362716035,74846.6273770043,75794.4740245247,77274.4451057407,79585.8606146062,82296.3694487434,87351.5515688521,94019.7358786008,96746.873601291,97046.1935952448,95000.8403032271,92506.5070202788,89895.7715174595,90128.5759572013,89031.069312704,87966.8204453127,86819.4271351565,87085.4893520043,87152.0049062163,86969.0871321334,85173.1671684106,82196.5961174255,79735.5206115831,79086.9939580165
02/15/15,93836.8181045179,93155.0336738453,92972.1158997625,94186.0247641307,94817.9225291443,96281.2647218073,98376.504679484,100089.280200442,102999.335697215,106557.917847555,109634.262229858,110083.242220788,108819.446690761,108420.353365489,106774.093398743,104895.028992256,103415.05791104,103415.05791104,103631.233462229,104712.111218173,104346.275670007,102034.860161142,99706.8157637231,97495.1735861755
08/12/15,20154.2129262229,19622.0884925272,19222.9951672555,19555.5729383153,19405.9129413384,19771.7484895041,21102.0595737433,25309.1683776495,26207.1283595109,24710.5283897419,23879.0839620925,23031.01064589,22199.5662182405,22083.1639983696,21401.3795676971,21135.3173508492,20885.8840225544,20636.4506942596,21284.9773478261,22432.3706579824,22764.9484290422,22532.1439893003,22764.9484290422,22698.4328748302
08/16/15,19489.0573841033,19306.1396100204,19023.4485046196,18624.3551793479,18823.9018419837,18258.5196311821,18674.2418450068,19139.8507244905,19904.779597928,21135.3173508492,22465.6284350884,22083.1639983696,22382.4839923234,22216.1951067935,22282.7106610055,21301.6062363791,21484.524010462,21268.3484592732,21484.524010462,22715.0617633832,22831.4639832541,21733.9573387568,21451.266233356,20303.8729231998
